Australian Bureau of Statistics,,,,,,
"cat.no.1292.0.55.005 Australian and New Zealand Standard Industrial Classification (ANZSIC), 2006 - Correspondence Tables",,,,,,
"Table 6. CORRESPONDENCES, ANZSIC 2006 - ISIC Rev. 4",,,,,,
,,,,,,
ANZSIC 2006,,,ISIC Rev. 4,,,
A,"Agriculture, Forestry and Fishing",,,,,
A,Agriculture,,,,,
A,Nursery and Floriculture Production,,,,,
G,,,4773p,Other retail sale of new goods in specialized stores,,
G,,,4782p,"Retail sale via stalls and markets of textiles, clothing and footwear",,
G,,,4789p,Retail sale via stalls and markets of other goods,,
G,4242,Entertainment Media Retailing,4741p,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",,
G,,,4759p,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores",,
G,,,4762p,Retail sale of music and video recordings in specialized stores,,
G,,,4773p,Other retail sale of new goods in specialized stores,,
G,,,4789p,Retail sale via stalls and markets of other goods,,
G,4243,Toy and Game Retailing,4764p,Retail sale of games and toys in specialized stores,,
G,,,4773p,Other retail sale of new goods in specialized stores,,
G,,,4789p,Retail sale via stalls and markets of other goods,,
G,4244,Newspaper and Book Retailing,4761p,"Retail sale of books, newspapers and stationary in specialized stores",,
G,,,4789p,Retail sale via stalls and markets of other goods,,
G,4245,Marine Equipment Retailing,4510p,Sale of motor vehicles,,
G,,,4741p,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",,
G,,,4763p,Retail sale of sporting equipment in specialized stores,,
G,,,4773p,Other retail sale of new goods in specialized stores,,
G,,,4789p,Retail sale via stalls and markets of other goods,,
G,"Clothing, Footwear and Personal Accessory Retailing",,,,,
G,4251,Clothing Retailing,4771p,"Retail sale of clothing, footwear and leather articles in specialized stores",,
G,,,4782p,"Retail sale via stalls and markets of textiles, clothing and footwear",,
G,4252,Footwear Retailing,4771p,"Retail sale of clothing, footwear and leather articles in specialized stores",,
G,,,4782p,"Retail sale via stalls and markets of textiles, clothing and footwear",,
G,4253,Watch and Jewellery Retailing,4773p,Other retail sale of new goods in specialized stores,,
G,,,4789p,Retail sale via stalls and markets of other goods,,
G,4259,Other Personal Accessory Retailing,4771p,"Retail sale of clothing, footwear and leather articles in specialized stores",,
G,,,4773p,Other retail sale of new goods in specialized stores,,
G,,,4782p,"Retail sale via stalls and markets of textiles, clothing and footwear",,
G,,,4789p,Retail sale via stalls and markets of other goods,,
G,Department Stores,,,,,
G,4260,Department Stores,4719p,Other retail sale in non-specialized stores,,
G,Pharmaceutical and Other Store-Based Retailing,,,,,
G,4271,"Pharmaceutical, Cosmetic and Toiletry Goods Retailing",4772p,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores",,
G,,,4789p,Retail sale via stalls and markets of other goods,,
G,4272,Stationery Goods Retailing,4761p,"Retail sale of books, newspapers and stationary in specialized stores",,
G,,,4773p,Other retail sale of new goods in specialized stores,,
G,,,4789p,Retail sale via stalls and markets of other goods,,
G,4273,Antique and Used Goods Retailing,4774p,Retail sale of second-hand goods,,
G,,,4782p,"Retail sale via stalls and markets of textiles, clothing and footwear",,
G,,,4789p,Retail sale via stalls and markets of other goods,,
G,,,6492p,Other credit granting,,
G,4274,Flower Retailing,4773p,Other retail sale of new goods in specialized stores,,
G,,,4789p,Retail sale via stalls and markets of other goods,,
G,4279,Other Store-Based Retailing n.e.c.,4711p,"Retail sale in non-specialized stores with food, beverages or tobacco predominating",,
G,,,4719p,Other retail sale in non-specialized stores,,
G,,,4721p,Retail sale of food in specialized stores,,
G,,,4722p,Retail sale of beverages in specialized stores,,
G,,,4723p,Retail sale of tobacco products in specialized stores,,
G,,,4741p,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",,
G,,,4742p,Retail sale of audio and video equipment in specialized stores,,
G,,,4751p,Retail sale of textiles in specialized stores,,
G,,,4752p,"Retail sale of hardware, paints and glass in specialized stores",,
G,,,4753p,"Retail sale of carpets, rugs, wall and floor coverings in specialized stores",,
G,,,4759p,"Retail sale of electrical household appliances, furniture, lighting equipment",,
G,,,4761p,"Retail sale of books, newspapers and stationary in specialized stores",,
G,,,4762p,Retail sale of music and video recordings in specialized stores,,
G,,,4763p,Retail sale of sporting equipment in specialized stores,,
G,,,4764p,Retail sale of games and toys in specialized stores,,
G,,,4771p,"Retail sale of clothing, footwear and leather articles in specialized stores",,
G,,,4773p,Other retail sale of new goods in specialized stores,,
G,,,4781p,"Retail sale via stalls and markets of food, beverages and tobacco products",,
G,,,4782p,"Retail sale via stalls and markets of textiles, clothing and footwear",,
G,,,4789p,Retail sale via stalls and markets of other goods,,
G,Non-Store Retailing and Retail Commission Based Buying and/or Selling,,,,,
G,Non-Store Retailing,,,,,
G,4310,Non-Store Retailing,4791p,Retail sale via mail order houses or via Internet,,
G,,,4799p,"Other retail sale not in stores, stalls or markets",,
G,Retail Commission-Based Buying and/or Selling,,,,,
G,4320,Retail Commission-Based Buying and/or Selling,4510p,Sale of motor vehicles,,
G,,,4530p,Sale of motor vehicle parts and accessories,,
G,,,4540p,"Sale, maintenance and repair of motorcycles and related parts and accessories",,
G,,,4721p,Retail sale of food in specialized stores,,
G,,,4722p,Retail sale of beverages in specialized stores,,
G,,,4723p,Retail sale of tobacco products in specialized stores,,
G,,,4730p,Retail sale of automotive fuel in specialized stores,,
G,,,4741p,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",,
G,,,4742p,Retail sale of audio and video equipment in specialized stores,,
G,,,4751p,Retail sale of textiles in specialized stores,,
G,,,4752p,"Retail sale of hardware, paints and glass in specialized stores",,
G,,,4753p,"Retail sale of carpets, rugs, wall and floor coverings in specialized stores",,
G,,,4759p,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores",,
G,,,4761p,"Retail sale of books, newspapers and stationary in specialized stores",,
G,,,4762p,Retail sale of music and video recordings in specialized stores,,
G,,,4763p,Retail sale of sporting equipment in specialized stores,,
G,,,4764p,Retail sale of games and toys in specialized stores,,
G,,,4771p,"Retail sale of clothing, footwear and leather articles in specialized stores",,
G,,,4772p,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores",,
G,,,4773p,Other retail sale of new goods in specialized stores,,
G,,,4774p,Retail sale of second-hand goods,,
G,,,4781p,"Retail sale via stalls and markets of food, beverages and tobacco products",,
G,,,4782p,"Retail sale via stalls and markets of textiles, clothing and footwear",,
G,,,4789p,Retail sale via stalls and markets of other goods,,
G,,,4791p,Retail sale via mail order houses or via Internet,,
G,,,4799p,"Other retail sale not in stores, stalls or markets",,
G,,,,,,
H,Accommodation and Food Services,,,,,
H,Accommodation,,,,,
H,Accommodation,,,,,
H,4400,Accommodation,5510,Short term accommodation activities,,
H,,,5520,"Camping grounds, recreational vehicle parks and trailer parks",,
H,,,5590,Other accommodation,,
H,Food and Beverage Services,,,,,
H,"Cafes, Restaurants and Takeaway Food Services",,,,,
H,4511,Cafes and Restaurants,5610p,Restaurants and mobile food service activities,,
H,,,5629p,Other food service activities,,
H,,,5630p,Beverage serving activities,,
H,4512,Takeaway Food Services,5610p,Restaurants and mobile food service activities,,
H,,,5629p,Other food service activities,,
H,,,5630p,Beverage serving activities,,
H,4513,Catering Services,5610p,Restaurants and mobile food service activities,,
H,,,5621,Event catering,,
H,,,5629p,Other food service activities,,
H,"Pubs, Taverns and Bars",,,,,
H,4520,"Pubs, Taverns and Bars",5630p,Beverage serving activities,,
H,Clubs (Hospitality),,,,,
H,4530,Clubs (Hospitality),5610p,Restaurants and mobile food service activities,,
H,,,5630p,Beverage serving activities,,
H,,,,,,
I,"Transport, Postal and Warehousing",,,,,
I,Road Transport,,,,,
I,Road Freight Transport,,,,,
I,4610,Road Freight Transport,4923p,Freight transport by road,,
I,,,5221p,Service activities incidental to land transportation,,
I,Road Passenger Transport,,,,,
I,4621,Interurban and Rural Bus Transport,4922p,Other passenger land transport,,
I,4622,Urban Bus Transport (Including Tramway),4921p,Urban and suburban passenger land transport,,
I,,,4922p,Other passenger land transport,,
I,4623,Taxi and Other Road Transport,4922p,Other passenger land transport,,
I,Rail Transport,,,,,
I,Rail Freight Transport,,,,,
I,4710,Rail Freight Transport,4912p,Freight rail transport,,
I,Rail Passenger Transport,,,,,
I,4720,Rail Passenger Transport,4911p,"Passenger rail transport, interurban",,
I,,,4921p,Urban and suburban passenger land transport,,
I,Water Transport,,,,,
I,Water Freight Transport,,,,,
I,4810,Water Freight Transport,5012p,Sea and coastal freight water transport,,
I,,,5022p,Inland freight water transport,,
I,Water Passenger Transport,,,,,
I,4820,Water Passenger Transport,5011p,Sea and coastal passenger water transport,,
I,,,5021p,Inland passenger water transport,,
I,Air and Space Transport,,,,,
I,Air and Space Transport,,,,,
I,4900,Air and Space Transport,5110p,Passenger air transport,,
I,,,5120p,Freight air transport,,
I,Other Transport,,,,,
I,Scenic and Sightseeing Transport,,,,,
I,5010,Scenic and Sightseeing Transport,4921p,Urban and suburban passenger land transport,,
I,,,4922p,Other passenger land transport,,
I,,,5011p,Sea and coastal passenger water transport,,
I,,,5021p,Inland passenger water transport,,
I,,,5110p,Passenger air transport,,
I,Pipeline and Other Transport,,,,,
I,5021,Pipeline Transport,4930p,Transport via pipeline,,
I,5029,Other Transport n.e.c.,4921p,Urban and suburban passenger land transport,,
I,,,4922p,Other passenger land transport,,
I,Postal and Courier Pick-up and Delivery Services,,,,,
I,Postal and Courier Pick-up and Delivery Services,,,,,
I,5101,Postal Services,5310,Postal activities,,
I,,,8219p,"Photocopying, document preparation and other specialized office support activities",,
I,5102,Courier Pick-up and Delivery Services,5320,Courier activities,,
I,Transport Support Services,,,,,
I,Water Transport Support Services,,,,,
I,5211,Stevedoring Services,5224p,Cargo handling,,
I,5212,Port and Water Transport Terminal Operations,5222p,Service activities incidental to water transportation,,
I,5219,Other Water Transport Support Services,5222p,Service activities incidental to water transportation,,
I,,,5224p,Cargo handling,,
I,Airport Operations and Other Air Transport Support Services,,,,,
I,5220,Airport Operations and Other Air Transport Support Services,5223p,Service activities incidental to air transportation,,
I,,,5224p,Cargo handling,,
I,Other Transport Support Services,,,,,
I,5291,Customs Agency Services,5229p,Other transportation support activities,,
I,5292,Freight Forwarding Services,5229p,Other transportation support activities,,
I,,,7490p,"Other professional, scientific and technical activities n.e.c.",,
I,5299,Other Transport Support Services n.e.c.,4911p,"Passenger rail transport, interurban",,
I,,,4912p,Freight rail transport,,
I,,,4921p,Urban and suburban passenger land transport,,
I,,,4922p,Other passenger land transport,,
I,,,4923p,Freight transport by road,,
I,,,5011p,Sea and coastal passenger water transport,,
I,,,5012p,Sea and coastal freight water transport,,
I,,,5021p,Inland passenger water transport,,
I,,,5022p,Inland freight water transport,,
I,,,5110p,Passenger air transport,,
I,,,5120p,Freight air transport,,
I,,,5221p,Service activities incidental to land transportation,,
I,,,5223p,Service activities incidental to air transportation,,
I,,,5229p,Other transportation support activities,,
I,Warehousing and Storage Services,,,,,
I,Warehousing and Storage Services,,,,,
I,5301,Grain Storage Services,5210p,Warehousing and storage,,
I,5309,Other Warehousing and Storage Services,5210p,Warehousing and storage,,
I,,,,,,
J,Information Media and Telecommunications,,,,,
J,Publishing (except Internet and Music Publishing),,,,,
J,"Newspaper, Periodical, Book and Directory Publishing",,,,,
J,5411,Newspaper Publishing,5813p,"Publishing of newspapers, journals and periodicals",,
J,5412,Magazine and Other Periodical Publishing,5813p,"Publishing of newspapers, journals and periodicals",,
J,,,5819p,Other publishing activities,,
J,5413,Book Publishing,5811p,Book publishing,,
J,5414,Directory and Mailing List Publishing,5812p,Publishing of directories and mailing lists,,
J,5419,"Other Publishing (except Software, Music and Internet)",5819p,Other publishing activities,,
J,Software Publishing,,,,,
J,5420,Software Publishing,5820,Software publishing,,
J,Motion Picture and Sound Recording Activities,,,,,
J,Motion Picture and Video Activities,,,,,
J,5511,Motion Picture and Video Production,5911,"Motion picture, video and television programme production activities",,
J,5512,Motion Picture and Video Distribution,5912p,"Motion picture, video and television programme post-production activities",,
J,,,5913,"Motion picture, video and television programme distribution activities",,
J,5513,Motion Picture Exhibition,5914,Motion picture projection activities,,
J,5514,Post-production Services and Other Motion Picture and Video Activities,5912p,"Motion picture, video and television programme post-production activities",,
J,Sound Recording and Music Publishing,,,,,
J,5521,Music Publishing,5920p,Sound recording and music publishing activities,,
J,5522,Music and Other Sound Recording Activities,5920p,Sound recording and music publishing activities,,
J,Broadcasting (except Internet),,,,,
J,Radio Broadcasting,,,,,
J,5610,Radio Broadcasting,6010p,Radio broadcasting,,
J,Television Broadcasting,,,,,
J,5621,Free-to-Air Television Broadcasting,6020p,Television programming and broadcasting activities,,
J,5622,Cable and Other Subscription Broadcasting,6020p,Television programming and broadcasting activities,,
J,Internet Publishing and Broadcasting,,,,,
J,Internet Publishing and Broadcasting,,,,,
J,5700,Internet Publishing and Broadcasting,5811p,Book publishing,,
J,,,5812p,Publishing of directories and mailing lists,,
J,,,5813p,"Publishing of newspapers, journals and periodicals",,
J,,,5819p,Other publishing activities,,
J,,,6010p,Radio broadcasting,,
J,,,6020p,Television programming and broadcasting activities,,
J,Telecommunications Services,,,,,
J,Telecommunications Services,,,,,
J,5801,Wired Telecommunications Network Operation,6110p,Wired telecommunications activities,,
J,5802,Other Telecommunications Network Operation,6120p,Wireless telecommunications activities,,
J,,,6130p,Satellite telecommunications activities,,
J,5809,Other Telecommunications Services,6190p,Other telecommunications activities,,
J,"Internet Service Providers, Web Search Portals and Data Processing Services",,,,,
J,Internet Service Providers and Web Search Portals,,,,,
J,5910,Internet Service Providers and Web Search Portals,6110p,Wired telecommunications activities,,
J,,,6120p,Wireless telecommunications activities,,
J,,,6130p,Satellite telecommunications activities,,
J,,,6190p,Other telecommunications activities,,
J,,,6312,Web portals,,
J,"Data Processing, Web Hosting and Electronic Information Storage Services ",,,,,
J,5921,Data Processing and Web Hosting Services,6202p,Computer consultancy and computer facilities management activities,,
J,,,6311p,"Data processing, hosting and related activities",,
J,,,7420p,Photographic activities,,
J,5922,Electronic Information Storage Services,6202p,Computer consultancy and computer facilities management activities,,
J,,,6311p,"Data processing, hosting and related activities",,
J,Library and Other Information Services,,,,,
J,Libraries and Archives,,,,,
J,6010,Libraries and Archives,9101,Library and archives activities,,
J,Other Information Services,,,,,
J,6020,Other Information Services,6391,News agency activities,,
J,,,6399p,Other information service activities n.e.c.,,
J,,,,,,
K,Financial and Insurance Services,,,,,
K,Finance,,,,,
K,Central Banking,,,,,
K,6210,Central Banking,6411,Central banking,,
K,Depository Financial Intermediation,,,,,
K,6221,Banking,6419p,Other monetary intermediation,,
K,6222,Building Society Operation,6419p,Other monetary intermediation,,
K,6223,Credit Union Operation,6419p,Other monetary intermediation,,
K,6229,Other Depository Financial Intermediation,6419p,Other monetary intermediation,,
K,Non-Depository Financing,,,,,
K,6230,Non-Depository Financing,6491,Financial leasing,,
K,,,6492p,Other credit granting,,
K,,,6499p,"Other financial service activities, except insurance and pension funding activities n.e.c.",,
K,Financial Asset Investing,,,,,
K,6240,Financial Asset Investing,6420,Activities of holding companies,,
K,,,6430,"Trusts, funds and similar financial entities",,
K,,,6499p,"Other financial service activities, except insurance and pension funding activities n.e.c.",,
K,Insurance and Superannuation Funds,,,,,
K,Life Insurance,,,,,
K,6310,Life Insurance,6511,Life insurance,,
K,,,6520p,Reinsurance,,
K,Health and General Insurance,,,,,
K,6321,Health Insurance,6512p,Non-life insurance,,
K,,,6520p,Reinsurance,,
K,6322,General Insurance,6512p,Non-life insurance,,
K,,,6520p,Reinsurance,,
K,Superannuation Funds,,,,,
K,6330,Superannuation Funds,6530,Pension funding,,
K,,,8430p,Compulsory social security activities,,
K,Auxiliary Finance and Insurance Services,,,,,
K,Auxiliary Finance and Investment Services,,,,,
K,6411,Financial Asset Broking Services,6612p,Security and commodity contracts brokerage,,
K,,,7490p,"Other professional, scientific and technical activities n.e.c.",,
K,6419,Other Auxiliary Finance and Investment Services,6611,Administration of financial markets,,
K,,,6612p,Security and commodity contracts brokerage,,
K,,,6619,Other activities auxiliary to financial service activities,,
K,,,6629p,Other activities auxiliary to insurance and pension funding,,
K,,,6630,Fund management activities,,
K,Auxiliary Insurance Services,,,,,
K,6420,Auxiliary Insurance Services,6621,Risk and damage evaluation,,
K,,,6622,Activities of insurance agents and brokers,,
K,,,6629p,Other activities auxiliary to insurance and pension funding,,
K,,,,,,
L,"Rental, Hiring and Real Estate Services",,,,,
L,Rental and Hiring Services (except Real Estate),,,,,
L,Motor Vehicle and Transport Equipment Rental and Hiring,,,,,
L,6611,Passenger Car Rental and Hiring,7710p,Renting and leasing of motor vehicles,,
L,6619,Other Motor Vehicle and Transport Equipment Rental and Hiring,7710p,Renting and leasing of motor vehicles,,
L,,,7721p,Renting and leasing of recreational and sports goods,,
L,,,7730p,"Renting and leasing of other machinery, equipment and tangible goods",,
L,Farm Animal and Bloodstock Leasing,,,,,
L,6620,Farm Animal and Bloodstock Leasing,7730p,"Renting and leasing of other machinery, equipment and tangible goods",,
L,Other Goods and Equipment Rental and Hiring,,,,,
L,6631,Heavy Machinery and Scaffolding Rental and Hiring,7730p,"Renting and leasing of other machinery, equipment and tangible goods",,
L,6632,Video and Other Electronic Media Rental and Hiring,7722,Renting of video tapes and disks,,
L,6639,Other Goods and Equipment Rental and Hiring n.e.c.,7721p,Renting and leasing of recreational and sports goods,,
L,,,7729,Renting and leasing of other personal and household goods,,
L,,,7730p,"Renting and leasing of other machinery, equipment and tangible goods",,
L,Non-Financial Intangible Assets (Except Copyrights) Leasing,,,,,
L,6640,Non-Financial Intangible Assets (Except Copyrights) Leasing,7740,"Leasing of intellectual property and similar products, except copyrighted works",,
L,Property Operators and Real Estate Services,,,,,
L,Property Operators ,,,,,
L,6711,Residential Property Operators ,6810p,Real estate activities with own or leased property,,
L,6712,Non-Residential Property Operators ,6810p,Real estate activities with own or leased property,,
L,Real Estate Services ,,,,,
L,6720,Real Estate Services ,6820,Real estate activities on a fee or contract basis,,
L,,,8110,Combined facilities support activities,,
L,,,,,,
M,"Professional, Scientific and Technical Services",,,,,
M,"Professional, Scientific and Technical Services (Except Computer System Design and Related Services)",,,,,
M,Scientific Research Services,,,,,
M,6910,Scientific Research Services,7210,Research and experimental development on natural sciences and engineering,,
M,,,7220,Research and experimental development on social sciences and humanities,,
M,"Architectural, Engineering and Technical Services",,,,,
M,6921,Architectural Services,7110p,Architectural and engineering activities and related technical consultancy,,
M,6922,Surveying and Mapping Services,7110p,Architectural and engineering activities and related technical consultancy,,
M,6923,Engineering Design and Engineering Consulting Services,7110p,Architectural and engineering activities and related technical consultancy,,
M,,,7410p,Specialized design activities,,
M,,,7490p,"Other professional, scientific and technical activities n.e.c.",,
M,6924,Other Specialised Design Services,7310p,Advertising,,
M,,,7410p,Specialized design activities,,
M,6925,Scientific Testing and Analysis Services,7120p,Technical testing and analysis,,
M,Legal and Accounting Services,,,,,
M,6931,Legal Services,6910,Legal activities,,
M,6932,Accounting Services,6920,"Accounting, bookkeeping and auditing activities; tax consultancy",,
M,Advertising Services,,,,,
M,6940,Advertising Services,7310p,Advertising,,
M,Market Research and Statistical Services,,,,,
M,6950,Market Research and Statistical Services,7320,Market research and public opinion polling,,
M,,,8411p,General public administration activities,,
M,Management and Related Consulting Services,,,,,
M,6961,Corporate Head Office Management Services,7010,Activities of head offices,,
M,6962,Management Advice and Related Consulting Services,0240p,Support services to forestry,,
M,,,6399p,Other information service activities n.e.c.,,
M,,,7020,Management consultancy activities,,
M,,,7490p,"Other professional, scientific and technical activities n.e.c.",,
M,,,7830p,Other human resources provision,,
M,Veterinary Services,,,,,
M,6970,Veterinary Services,7500,Veterinary activities,,
M,"Other Professional, Scientific and Technical Services",,,,,
M,6991,Professional Photographic Services,7420p,Photographic activities,,
M,,,9609p,Other personal service activities n.e.c.,,
M,6999,"Other Professional, Scientific and Technical Services n.e.c.",0510p,Mining of hard coal,,
M,,,0910p,Support activities for petroleum and natural gas extraction,,
M,,,0990p,Support activities for other mining and quarrying,,
M,,,7110p,Architectural and engineering activities and related technical consultancy,,
M,,,7490p,"Other professional, scientific and technical activities n.e.c.",,
M,Computer System Design and Related Services,,,,,
M,Computer System Design and Related Services,,,,,
M,7000,Computer System Design and Related Services,3320p,Installation of industrial machinery and equipment,,
M,,,6201,Computer programming activities,,
M,,,6202p,Computer consultancy and computer facilities management activities,,
M,,,6209,Other information technology and computer service activities,,
M,,,,,,
N,Administrative and Support Services,,,,,
N,Administrative Services,,,,,
N,Employment Services,,,,,
N,7211,Employment Placement and Recruitment Services,7490p,"Other professional, scientific and technical activities n.e.c.",,
N,,,7810,Activities of employment placement agencies,,
N,,,8550p,Educational support activities,,
N,7212,Labour Supply Services,7820,Temporary employment agency activities,,
N,Travel Agency and Tour Arrangement Services,,,,,
N,7220,Travel Agency and Tour Arrangement Services,7911p,Travel agency activities,,
N,,,7912p,Tour operator activities,,
N,,,7990p,Other reservation service and related activities,,
N,Other Administrative Services,,,,,
N,7291,Office Administrative Services,7830p,Other human resources provision,,
N,,,8211,Combined office administrative service activities,,
N,,,8219p,"Photocopying, document preparation and other specialized office support activities",,
N,,,8299p,Other business support service activities n.e.c.,,
N,7292,Document Preparation Services,8219p,"Photocopying, document preparation and other specialized office support activities",,
N,,,8299p,Other business support service activities n.e.c.,,
N,7293,Credit Reporting and Debt Collection Services,8291,Activities of collection agencies and credit bureaus,,
N,,,8299p,Other business support service activities n.e.c.,,
N,7294,Call Centre Operation,8220,Activities of call centres,,
N,7299,Other Administrative Services n.e.c.,7911p,Travel agency activities,,
N,,,7912p,Tour operator activities,,
N,,,7990p,Other reservation service and related activities,,
N,,,8230,Organization of conventions and trade shows,,
N,,,8299p,Other business support service activities n.e.c.,,
N,,,9000p,"Creative, arts and entertainment activities",,
N,,,9319p,Other sports activities,,
N,,,9329p,Other amusement and recreation activities n.e.c.,,
N,"Building Cleaning, Pest Control and Other Support Services",,,,,
N,"Building Cleaning, Pest Control and Gardening Services",,,,,
N,7311,Building and Other Industrial Cleaning Services,4330p,Building completion and finishing,,
N,,,8121,General cleaning of buildings,,
N,,,8129p,Other building and industrial cleaning activities,,
N,7312,Building Pest Control Services,8129p,Other building and industrial cleaning activities,,
N,7313,Gardening Services,8130p,Landscape care and maintenance service activities,,
N,Packaging Services,,,,,
N,7320,Packaging Services,8292,Packaging activities,,
N,,,,,,
O,Public Administration and Safety,,,,,
O,Public Administration,,,,,
O,Central Government Administration,,,,,
O,7510,Central Government Administration,8411p,General public administration activities,,
O,,,8412p,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",,
O,,,8413p,Regulation of and contribution to more efficient operation of businesses,,
O,,,8421p,Foreign affairs,,
O,,,8430p,Compulsory social security activities,,
O,State Government Administration,,,,,
O,7520,State Government Administration,8411p,General public administration activities,,
O,,,8412p,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",,
O,,,8413p,Regulation of and contribution to more efficient operation of businesses,,
O,Local Government Administration,,,,,
O,7530,Local Government Administration,8411p,General public administration activities,,
O,,,8412p,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",,
O,,,8413p,Regulation of and contribution to more efficient operation of businesses,,
O,Justice,,,,,
O,7540,Justice,8423p,Public order and safety activities,,
O,Government Representation,,,,,
O,7551,Domestic Government Representation,8421p,Foreign affairs,,
O,7552,Foreign Government Representation,9900,Activities of extraterritorial organizations and bodies,,
O,Defence,,,,,
O,Defence,,,,,
O,7600,Defence,8421p,Foreign affairs,,
O,,,8422,Defence activities,,
O,,,8423p,Public order and safety activities,,
O,"Public Order, Safety and Regulatory Services",,,,,
O,Public Order and Safety Services,,,,,
O,7711,Police Services,8423p,Public order and safety activities,,
O,7712,Investigation and Security Services,3211p,Manufacture of jewellery and related articles,,
O,,,8010,Private security activities,,
O,,,8020,Security systems service activities,,
O,,,8030,Investigation activities,,
O,,,9529p,Repair of other personal and household goods,,
O,7713,Fire Protection and Other Emergency Services,0240p,Support services to forestry,,
O,,,0910p,Support activities for petroleum and natural gas extraction,,
O,,,5223p,Service activities incidental to air transportation,,
O,,,8423p,Public order and safety activities,,
O,7714,Correctional and Detention Services,8423p,Public order and safety activities,,
O,,,8790p,Other residential care activities,,
O,7719,Other Public Order and Safety Services ,8423p,Public order and safety activities,,
O,Regulatory Services,,,,,
O,7720,Regulatory Services,7120p,Technical testing and analysis,,
O,,,8412p,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",,
O,,,8413p,Regulation of and contribution to more efficient operation of businesses,,
O,,,,,,
P,Education and Training,,,,,
P,Preschool and School Education,,,,,
P,Preschool Education,,,,,
P,8010,Preschool Education,8510p,Pre-primary and primary education,,
P,School Education,,,,,
P,8021,Primary Education,8510p,Pre-primary and primary education,,
P,8022,Secondary Education,8521p,General secondary education,,
P,8023,Combined Primary and Secondary Education,8510p,Pre-primary and primary education,,
P,,,8521p,General secondary education,,
P,8024,Special School Education,8510p,Pre-primary and primary education,,
P,,,8521p,General secondary education,,
P,,,8522p,Technical and vocational secondary education,,
P,Tertiary Education,,,,,
P,Tertiary Education,,,,,
P,8101,Technical and Vocational Education and Training,8522p,Technical and vocational secondary education,,
P,,,8530p,Higher education,,
P,,,8549p,Other education n.e.c.,,
P,8102,Higher Education,8530p,Higher education,,
P,"Adult, Community and Other Education",,,,,
P,"Adult, Community and Other Education",,,,,
P,8211,Sports and Physical Recreation Instruction,8541p,Sports and recreation education,,
P,,,8549p,Other education n.e.c.,,
P,8212,Arts Education,8542p,Cultural education,,
P,,,8549p,Other education n.e.c.,,
P,8219,"Adult, Community and Other Education n.e.c.",8522p,Technical and vocational secondary education,,
P,,,8541p,Sports and recreation education,,
P,,,8542p,Cultural education,,
P,,,8549p,Other education n.e.c.,,
P,Educational Support Services,,,,,
P,8220,Educational Support Services,8550p,Educational support activities,,
P,,,,,,
Q,Health Care and Social Assistance,,,,,
Q,Hospitals,,,,,
Q,Hospitals,,,,,
Q,8401,Hospitals (Except Psychiatric Hospitals),8610p,Hospital activities,,
Q,8402,Psychiatric Hospitals,8610p,Hospital activities,,
Q,Medical and Other Health Care Services ,,,,,
Q,Medical Services,,,,,
Q,8511,General Practice Medical Services,8620p,Medical and dental practice activities,,
Q,8512,Specialist Medical Services,8620p,Medical and dental practice activities,,
Q,Pathology and Diagnostic Imaging Services,,,,,
Q,8520,Pathology and Diagnostic Imaging Services,8690p,Other human health activities,,
Q,Allied Health Services,,,,,
Q,8531,Dental Services,8620p,Medical and dental practice activities,,
Q,8532,Optometry and Optical Dispensing,8690p,Other human health activities,,
Q,8533,Physiotherapy Services,8690p,Other human health activities,,
Q,8534,Chiropractic and Osteopathic Services,8690p,Other human health activities,,
Q,8539,Other Allied Health Services,8690p,Other human health activities,,
Q,Other Health Care Services,,,,,
Q,8591,Ambulance Services,8690p,Other human health activities,,
Q,8599,Other Health Care Services n.e.c.,8690p,Other human health activities,,
Q,Residential Care Services,,,,,
Q,Residential Care Services,,,,,
Q,8601,Aged Care Residential Services,8710p,Residential nursing care facilities,,
Q,,,8730p,Residential care activities for the elderly and disabled,,
Q,8609,Other Residential Care Services,8710p,Residential nursing care facilities,,
Q,,,8720,"Residential care activities for mental retardation, mental health and substance abuse",,
Q,,,8730p,Residential care activities for the elderly and disabled,,
Q,,,8790p,Other residential care activities,,
Q,Social Assistance Services,,,,,
Q,Child Care Services,,,,,
Q,8710,Child Care Services,8890p,Other social work activities without accommodation n.e.c.,,
Q,Other Social Assistance Services,,,,,
Q,8790,Other Social Assistance Services,5610p,Restaurants and mobile food service activities,,
Q,,,8810,Social work activities without accommodation for the elderly and disabled,,
Q,,,8890p,Other social work activities without accommodation n.e.c.,,
Q,,,,,,
R,Arts and Recreation Services,,,,,
R,Heritage Activities,,,,,
